FLAG	HEADER
$IntroWHYLEAVE	Grund
$IntroTECHISSUES	Technische Probleme
$IntroDEATH	Der Leitungsinhaber ist verstorben
$IntroWANTSTOSTAYWITHCURRENTPROVIDER	Will bei seinem aktuellen Anbieter bleiben
$IntroMOVEHOUSEKEEPFIBER	Zieht um und möchte Salt Home behalten
$IntroMOVECANTKEEP	Zieht um, aber kann Salt Home nicht behalten
$IntroNOTELLIGIBLEATNEWADRESS	* FWA verfügbar (Winback only)
$IntroBYEBYESWITZERLAND	Zieht aus der Schweiz weg
$front.capture.CheckContractorVTIContractorID	Nr. des Contractors
$front.capture.CheckContractorVTIVoIPNumber	VoIP-Nr.
$front.capture.CheckContractorVTIContactNumber	Kontaktnr.
$front.move._AskForOTO	OTO-ID
$fees._InputDatesORDERDATE	Bestelldatum
$fees._InputDatesACTIVATIONDATE	Aktivierungsdatum
$fees._InputDatesTERMDATE	Gewünschtes Deaktivierungsdatum
