flag	HEADER
$IntroWHYLEAVE	Raison
$IntroTECHISSUES	Problèmes techniques
$IntroDEATH	Le propriétaire de la ligne est décédé
$IntroWANTSTOSTAYWITHCURRENTPROVIDER	Veut rester avec son fournisseur actuel
$IntroMOVEHOUSEKEEPFIBER	Déménage et veut garder Salt
$IntroMOVECANTKEEP	Déménage mais ne peut garder Salt Home
$IntroNOTELLIGIBLEATNEWADRESS	* Elligible à FWA (Winback only)
$IntroBYEBYESWITZERLAND	Émigre hors de la Suisse
$front.capture.CheckContractorVTIContractorID	N° de contractor
$front.capture.CheckContractorVTIVoIPNumber	N° VoIP
$front.capture.CheckContractorVTIContactNumber	Tél de contact
$front.move._AskForOTO	OTO ID
$fees._InputDatesORDERDATE	Date de la commande
$fees._InputDatesACTIVATIONDATE	Date d'activation
$fees._InputDatesTERMDATE	Date souhaitée de déactivation
