flag	HEADER
$IntroWHYLEAVE	Motivo
$IntroTECHISSUES	Problemi tecnici
$IntroDEATH	Il titolare della linea è deceduto
$IntroWANTSTOSTAYWITHCURRENTPROVIDER	Vuole restare con il suo fornitore attuale
$IntroMOVEHOUSEKEEPFIBER	Trasloca e vuole restare con Salt Home
$IntroMOVECANTKEEP	Trasloca ma non può mantenere Salt Home
$IntroNOTELLIGIBLEATNEWADRESS	* FWA disponibile (Winback only)
$IntroBYEBYESWITZERLAND	Lascia la Svizzera
$front.capture.CheckContractorVTIContractorID	N° di contractor
$front.capture.CheckContractorVTIVoIPNumber	N° VoIP
$front.capture.CheckContractorVTIContactNumber	N° di telefono di contatto
$front.move._AskForOTO	OTO ID
$fees._InputDatesORDERDATE	Data dell'ordine
$fees._InputDatesACTIVATIONDATE	Date di attivazione
$fees._InputDatesTERMDATE	Data desiderata di disattivazione
